accuracy,bathType,bedType,bedroomType,checkin,cleanliness,communication,guestSatisfaction,isSuperhost,latitude,location,longitude,numBaths,numBeds,numGuests,numHostReviews,numReviews,numRooms,price,rating,responseTimeShown,roomID,roomType,shortDesc,value,url,site,details,rating_word,row_number,content
10,bath,beds,Studio,10,10,10,95,NA,38.03633,10,-78.49413,1,0,3,NA,461,0,95,5,NA,10225093,NA,NA,10,https://www.airbnb.com/rooms/10225093,AirBnB,NA,NA,1,"<a href='https://www.airbnb.com/rooms/10225093'>AirBnB</a>
<br>
1"
10,shared baths,bed,bedroom,10,10,10,98,NA,38.01729,10,-78.49419,1.5,1,2,NA,144,1,55.85,5,NA,10710588,NA,NA,10,https://www.airbnb.com/rooms/10710588,AirBnB,NA,NA,2,"<a href='https://www.airbnb.com/rooms/10710588'>AirBnB</a>
<br>
2"
10,bath,bed,Studio,10,10,10,97,NA,38.02072,10,-78.47595,1,1,2,NA,139,0,99,5,NA,10983225,NA,NA,10,https://www.airbnb.com/rooms/10983225,AirBnB,NA,NA,3,"<a href='https://www.airbnb.com/rooms/10983225'>AirBnB</a>
<br>
3"
10,shared bath,bed,bedroom,10,10,10,98,NA,38.01857,10,-78.49555,1,1,2,NA,194,1,55.88235294117647,5,NA,11557016,NA,NA,10,https://www.airbnb.com/rooms/11557016,AirBnB,NA,NA,4,"<a href='https://www.airbnb.com/rooms/11557016'>AirBnB</a>
<br>
4"
10,bath,beds,bedroom,10,10,10,100,NA,38.03833,10,-78.51324,1,2,4,NA,42,1,147.5,5,NA,11733216,NA,NA,10,https://www.airbnb.com/rooms/11733216,AirBnB,NA,NA,5,"<a href='https://www.airbnb.com/rooms/11733216'>AirBnB</a>
<br>
5"
10,bath,beds,bedrooms,10,10,10,97,NA,38.04001,10,-78.49236,1,2,4,NA,287,2,180,5,NA,1186869,NA,NA,10,https://www.airbnb.com/rooms/1186869,AirBnB,NA,NA,6,"<a href='https://www.airbnb.com/rooms/1186869'>AirBnB</a>
<br>
6"
10,baths,beds,bedrooms,10,10,10,97,NA,38.01894,10,-78.49239,2.5,5,2,NA,37,4,199,5,NA,11926883,NA,NA,10,https://www.airbnb.com/rooms/11926883,AirBnB,NA,NA,7,"<a href='https://www.airbnb.com/rooms/11926883'>AirBnB</a>
<br>
7"
10,bath,bed,bedroom,10,10,10,96,NA,38.03375,10,-78.48037,1,1,2,NA,38,1,162,5,NA,12125053,NA,NA,10,https://www.airbnb.com/rooms/12125053,AirBnB,NA,NA,8,"<a href='https://www.airbnb.com/rooms/12125053'>AirBnB</a>
<br>
8"
10,private bath,beds,bedrooms,10,10,10,96,NA,38.03268,10,-78.47859,1,3,2,NA,46,2,129,5,NA,12145205,NA,NA,10,https://www.airbnb.com/rooms/12145205,AirBnB,NA,NA,9,"<a href='https://www.airbnb.com/rooms/12145205'>AirBnB</a>
<br>
9"
10,baths,beds,bedrooms,10,10,10,97,NA,37.99578,10,-78.50002,2.5,5,6,NA,83,3,150,5,NA,12418086,NA,NA,10,https://www.airbnb.com/rooms/12418086,AirBnB,NA,NA,10,"<a href='https://www.airbnb.com/rooms/12418086'>AirBnB</a>
<br>
10"
NA,baths,beds,bedrooms,NA,NA,NA,NA,NA,38.01762,NA,-78.49418,2.5,5,0,NA,NA,4,999,NA,NA,12446603,NA,NA,NA,https://www.airbnb.com/rooms/12446603,AirBnB,NA,NA,11,"<a href='https://www.airbnb.com/rooms/12446603'>AirBnB</a>
<br>
11"
10,baths,beds,bedrooms,10,9,10,90,NA,38.02639,10,-78.51526,1.5,3,8,NA,62,3,139,4.5,NA,12683942,NA,NA,9,https://www.airbnb.com/rooms/12683942,AirBnB,NA,NA,12,"<a href='https://www.airbnb.com/rooms/12683942'>AirBnB</a>
<br>
12"
10,bath,beds,bedrooms,10,10,10,98,NA,38.04642,10,-78.4818,1,2,5,NA,56,2,150,5,NA,12710108,NA,NA,10,https://www.airbnb.com/rooms/12710108,AirBnB,NA,NA,13,"<a href='https://www.airbnb.com/rooms/12710108'>AirBnB</a>
<br>
13"
10,bath,bed,bedroom,10,10,10,97,NA,38.0307,10,-78.48131,1,1,2,NA,79,1,129,5,NA,13058472,NA,NA,10,https://www.airbnb.com/rooms/13058472,AirBnB,NA,NA,14,"<a href='https://www.airbnb.com/rooms/13058472'>AirBnB</a>
<br>
14"
10,bath,bed,bedroom,10,10,10,98,NA,38.03051,10,-78.48298,1,1,2,NA,16,1,139,5,NA,13058517,NA,NA,10,https://www.airbnb.com/rooms/13058517,AirBnB,NA,NA,15,"<a href='https://www.airbnb.com/rooms/13058517'>AirBnB</a>
<br>
15"
9,bath,bed,bedroom,10,8,9,91,NA,38.08238,10,-78.49613,1,1,2,NA,223,1,89.5,4.5,NA,13393248,NA,NA,8,https://www.airbnb.com/rooms/13393248,AirBnB,NA,NA,16,"<a href='https://www.airbnb.com/rooms/13393248'>AirBnB</a>
<br>
16"
10,baths,beds,bedrooms,10,10,10,97,NA,38.03027,9,-78.46352,2,3,4,NA,73,2,162,5,NA,13544918,NA,NA,10,https://www.airbnb.com/rooms/13544918,AirBnB,NA,NA,17,"<a href='https://www.airbnb.com/rooms/13544918'>AirBnB</a>
<br>
17"
10,bath,bed,bedroom,10,10,10,96,NA,38.02607,10,-78.47695,1,1,2,NA,218,1,70,5,NA,13680171,NA,NA,10,https://www.airbnb.com/rooms/13680171,AirBnB,NA,NA,18,"<a href='https://www.airbnb.com/rooms/13680171'>AirBnB</a>
<br>
18"
10,bath,beds,bedrooms,10,10,10,98,NA,38.02077,10,-78.48313,1,3,4,NA,185,2,86,5,NA,13743664,NA,NA,10,https://www.airbnb.com/rooms/13743664,AirBnB,NA,NA,19,"<a href='https://www.airbnb.com/rooms/13743664'>AirBnB</a>
<br>
19"
10,bath,beds,bedroom,10,10,10,100,NA,38.03717,10,-78.53138,1,2,3,NA,42,1,131,5,NA,13892101,NA,NA,10,https://www.airbnb.com/rooms/13892101,AirBnB,NA,NA,20,"<a href='https://www.airbnb.com/rooms/13892101'>AirBnB</a>
<br>
20"
10,baths,bed,bedroom,10,10,10,96,NA,38.02467,10,-78.47741,1.5,1,2,NA,25,1,150,5,NA,14393956,NA,NA,10,https://www.airbnb.com/rooms/14393956,AirBnB,NA,NA,21,"<a href='https://www.airbnb.com/rooms/14393956'>AirBnB</a>
<br>
21"
9,shared bath,beds,bedrooms,10,10,10,96,NA,38.02628,10,-78.47788,1,3,4,NA,16,2,199,5,NA,14397945,NA,NA,10,https://www.airbnb.com/rooms/14397945,AirBnB,NA,NA,22,"<a href='https://www.airbnb.com/rooms/14397945'>AirBnB</a>
<br>
22"
10,bath,beds,bedrooms,10,10,10,94,NA,38.03304,10,-78.46171,1,4,6,NA,129,3,132,4.5,NA,14535650,NA,NA,10,https://www.airbnb.com/rooms/14535650,AirBnB,NA,NA,23,"<a href='https://www.airbnb.com/rooms/14535650'>AirBnB</a>
<br>
23"
