accuracy,bathType,bedType,bedroomType,checkin,cleanliness,communication,guestSatisfaction,isSuperhost,latitude,location,longitude,numBaths,numBeds,numGuests,numHostReviews,numReviews,numRooms,price,rating,responseTimeShown,roomID,roomType,shortDesc,value
10,baths,beds,bedrooms,10,8,10,92,,38.02361,9,-78.5562,,8,8,,22,2,$200,4.5,,27077745,,,8
10,bath,beds,bedrooms,10,10,10,100,,38.02507,10,-78.47569,,3,6,,18,2,$185,5,,25802228,,,10
10,bath,beds,bedroom,10,10,10,100,,38.069,10,-78.40987,,2,3,,8,1,$175,5,,38327976,,,10
10,bath,beds,bedrooms,10,10,10,99,,37.98611,10,-78.54014,,2,6,,96,2,$165,5,,4151622,,,10
10,bath,beds,bedrooms,10,10,10,100,,38.02553,10,-78.51542,,3,4,,26,2,$150,5,,4961336,,,10
10,shared bath,bed,bedroom,10,10,10,98,,38.02565,10,-78.47911,,1,2,,21,1,$145,5,,14394002,,,10
9,bath,bed,bedroom,10,7,10,80,,38.05563,10,-78.4591,,1,2,,3,1,$134,4,,40205907,,,7
10,bath,bed,Studio,10,10,10,100,,38.00471,10,-78.40849,,1,2,,11,0,$120,5,,18885454,,,10
10,bath,bed,Studio,10,10,10,100,,38.00471,10,-78.40849,,1,2,,11,0,$120,5,,18885454,,,10
10,shared bath,beds,bedroom,10,10,10,100,,38.08332,10,-78.48421,,2,3,,8,1,$100,5,,3039395,,,10
10,private bath,beds,bedrooms,10,10,10,99,,38.03743,10,-78.42195,,2,4,,94,2,$95,5,,14489648,,,10
10,baths,bed,bedroom,10,10,10,99,,38.04467,10,-78.47095,,1,2,,58,1,$90,5,,1382827,,,10
10,bath,bed,bedroom,10,10,10,98,,38.02566,10,-78.50703,,1,2,,89,1,$75,5,,14186538,,,10
,bath,bed,bedroom,,,,,,38.0294,,-78.46323,,1,1,,,1,$60,,,449727,,,
,bath,bed,bedroom,,,,,,38.0294,,-78.46323,,1,1,,,1,$60,,,449727,,,
9,shared bath,beds,bedroom,9,8,10,89,,37.96699,9,-78.55479,,3,4,,11,1,$43,4.5,,33508531,,,8
9,baths,beds,bedrooms,10,9,10,93,,38.1142,10,-78.54545,,4,0,,4,5,"$1,000",4.5,,15942405,,,9
9,baths,beds,bedrooms,10,9,10,96,,38.04602,10,-78.50173,,7,2,,11,6,"$1,500",5,,11584825,,,9
,baths,beds,bedrooms,,,,,,38.07948,,-78.49788,,6,6,,,6,"$2,000",,,17611082,,,
10,baths,beds,bedrooms,10,10,10,100,,38.04423,10,-78.50144,,9,6,,14,5,"$1,500",5,,2537050,,,10
9,baths,beds,bedrooms,10,10,10,96,,38.04,9,-78.47035,,5,0,,22,4,"$1,200",5,,1148833,,,10
9,baths,beds,bedrooms,9,9,10,97,,38.03791,10,-78.50964,,5,0,,7,5,"$1,274",5,,15020174,,,9
9,baths,beds,bedrooms,10,9,10,100,,38.04366,10,-78.4989,,6,2,,6,5,$999,5,,29334145,,,9
10,baths,beds,bedrooms,10,10,10,98,,37.99063,10,-78.43742,,6,0,,20,6,"$1,208",5,,15581613,,,10
8,shared bath,bed,bedroom,10,9,10,88,,38.08261,10,-78.48821,,1,1,,8,1,$40,4.5,,35645677,,,9
9,private bath,bed,bedroom,9,9,9,84,,38.02491,9,-78.45405,,1,2,,38,1,$45,4,,32321199,,,9
10,shared bath,bed,bedroom,10,10,10,100,,38.07516,10,-78.48431,,1,1,,6,1,$42,5,,37635845,,,10
10,private bath,beds,bedroom,10,10,10,100,,38.02775,10,-78.45893,,2,3,,18,1,$60,5,,16587608,,,10
10,shared baths,bed,bedroom,10,10,10,99,,38.04442,10,-78.45756,,1,2,,73,1,$60,5,,236279,,,10
10,bath,bed,bedroom,10,10,10,96,,38.05558,10,-78.46093,,1,2,,21,1,$56,5,,20454891,,,10
10,private bath,beds,bedroom,10,10,10,100,,38.02775,10,-78.45893,,2,3,,18,1,$60,5,,16587608,,,10
10,shared baths,bed,bedroom,10,10,10,99,,38.04442,10,-78.45756,,1,2,,73,1,$60,5,,236279,,,10
10,private bath,beds,bedroom,10,10,10,98,,38.07705,10,-78.45949,,2,5,,96,1,$70,5,,2350534,,,10
10,private bath,bed,bedroom,10,10,10,98,,38.04591,10,-78.4927,,1,1,,13,1,$65,5,,13575178,,,10
10,shared bath,bed,bedroom,10,10,10,96,,38.02864,10,-78.46449,,1,2,,79,1,$65,5,,1948995,,,10
10,private bath,beds,bedroom,10,10,10,99,,38.04457,10,-78.46057,,2,3,,18,1,$65,5,,1138005,,,10
10,shared bath,bed,bedroom,10,10,10,96,,38.02894,10,-78.46248,,1,2,,39,1,$65,5,,3061458,,,10
10,shared baths,beds,bedrooms,10,10,10,99,,38.04364,10,-78.45777,,2,3,,230,2,$62,5,,1792587,,,10
10,shared bath,bed,bedroom,10,10,10,97,,38.02865,10,-78.46232,,1,2,,71,1,$65,5,,3061401,,,10
10,shared bath,bed,bedroom,10,10,10,97,,38.03426,10,-78.46745,,1,2,,354,1,$70,5,,362632,,,10
10,private bath,beds,bedroom,10,10,10,99,,38.02593,10,-78.45441,,2,3,,156,1,$65,5,,23918430,,,10
10,shared bath,bed,bedroom,10,10,10,99,,38.04686,10,-78.50017,,1,2,,430,1,$70,5,,2591146,,,10
10,bath,bed,bedroom,10,9,10,95,,38.02205,10,-78.51655,,1,3,,41,1,$65,5,,19912330,,,9
10,private bath,beds,bedroom,10,10,10,100,,38.04799,10,-78.49198,,2,2,,251,1,$65,5,,18663946,,,10
10,bath,beds,bedroom,10,10,10,98,,38.02579,10,-78.47593,,2,3,,154,1,$70,5,,22626013,,,10
10,bath,beds,bedroom,10,10,10,97,,38.03727,10,-78.47854,,2,4,,154,1,$68,5,,156430,,,10
10,bath,bed,Studio,10,10,10,96,,38.04848,10,-78.48907,,1,3,,37,0,$80,5,,15038321,,,10
10,private bath,bed,bedroom,10,10,10,98,,38.00155,10,-78.4839,,1,2,,41,1,$75,5,,30091636,,,10
10,bath,bed,bedroom,10,10,10,96,,38.0129,10,-78.49358,,1,2,,47,1,$75,5,,14333131,,,10
10,bath,beds,bedrooms,10,9,10,96,,38.029,10,-78.46394,,2,4,,283,2,$75,5,,762275,,,9
10,shared bath,beds,bedrooms,10,10,10,100,,38.04531,10,-78.46786,,2,4,,7,2,$74,5,,38344624,,,10
,private bath,bed,bedroom,,,,,,38.08326,,-78.49861,,1,2,,,1,$74,,,33959757,,,
10,shared bath,bed,bedroom,10,10,10,97,,38.03426,10,-78.46745,,1,2,,354,1,$70,5,,362632,,,10
9,bath,bed,bedroom,10,9,10,83,,38.0303,9,-78.49426,,1,2,,36,1,$75,4,,21273943,,,9
10,baths,beds,bedrooms,10,10,10,99,,38.08404,10,-78.48808,,2,4,,188,2,$78,5,,21227688,,,10
10,bath,beds,bedrooms,10,10,10,96,,38.0198,10,-78.46376,,3,6,,619,3,$80,5,,1560850,,,10
10,bath,bed,Studio,10,10,10,98,,38.03619,10,-78.46024,,1,4,,11,0,$79,5,,37213769,,,10
10,bath,beds,Studio,10,10,10,99,,38.04792,10,-78.48525,,2,4,,461,0,$75,5,,2399994,,,10
10,shared bath,bed,bedroom,10,10,10,99,,38.04686,10,-78.50017,,1,2,,430,1,$70,5,,2591146,,,10
10,bath,beds,bedroom,10,10,10,99,,38.01542,10,-78.48487,,2,3,,70,1,$78,5,,16228345,,,10
10,bath,beds,bedroom,10,10,10,97,,38.02612,10,-78.47463,,2,3,,169,1,$74,5,,23271179,,,10
10,bath,beds,bedroom,10,10,10,98,,38.02579,10,-78.47593,,2,3,,154,1,$70,5,,22626013,,,10
10,bath,bed,bedroom,10,10,10,96,,38.02607,10,-78.47695,,1,2,,227,1,$75,5,,13680171,,,10
9,baths,beds,bedrooms,10,9,9,87,,38.0283,9,-78.46159,,5,6,,45,3,$80,4.5,,5847100,,,9
10,shared bath,beds,bedroom,10,9,10,91,,38.03023,10,-78.48867,,2,2,,207,1,$80,4.5,,1601402,,,9
10,bath,bed,bedroom,10,10,10,98,,38.06165,10,-78.50358,,1,3,,131,1,$83,5,,13715759,,,10
10,bath,bed,Studio,10,10,10,96,,38.04848,10,-78.48907,,1,3,,37,0,$80,5,,15038321,,,10
10,private bath,beds,Studio,10,10,10,99,,38.0213,10,-78.5007,,2,4,,82,0,$85,5,,12056699,,,10
10,bath,beds,bedroom,10,10,10,100,,38.08206,10,-78.48184,,2,4,,4,1,$86,5,,39489647,,,10
,bath,beds,bedroom,,,,,,38.01969,,-78.47587,,2,4,,,1,$85,,,41530059,,,
10,private bath,bed,bedroom,10,10,10,99,,38.03468,10,-78.49124,,1,2,,82,1,$90,5,,13605308,,,10
10,bath,beds,Studio,10,10,10,100,,38.06301,10,-78.48075,,2,4,,7,0,$84,5,,41146727,,,10
10,bath,beds,bedrooms,10,10,10,97,,38.02333,10,-78.50342,,3,4,,164,2,$82,5,,22097621,,,10
10,bath,beds,bedrooms,10,10,10,96,,38.0198,10,-78.46376,,3,6,,619,3,$80,5,,1560850,,,10
10,bath,beds,bedroom,10,10,10,97,,38.02624,10,-78.47314,,2,4,,305,1,$90,5,,17337587,,,10
10,bath,beds,bedroom,10,10,10,99,,38.02553,10,-78.48166,,2,4,,205,1,$85,5,,17210204,,,10
10,shared bath,beds,bedroom,10,10,10,100,,38.08332,10,-78.48421,,2,3,,8,1,$100,5,,3039395,,,10
,baths,beds,bedrooms,,,,,,38.06209,,-78.50561,,0,5,,,3,$100,,,42171057,,,
10,baths,bed,bedroom,10,10,10,99,,38.04467,10,-78.47095,,1,2,,58,1,$90,5,,1382827,,,10
10,bath,bed,bedroom,10,10,10,100,,38.06448,10,-78.50478,,1,4,,36,1,$95,5,,24685846,,,10
10,private bath,beds,bedroom,10,10,10,100,,38.03343,10,-78.46788,,2,3,,83,1,$95,5,,19431411,,,10
