accuracy,bathType,bedType,bedroomType,checkin,cleanliness,communication,guestSatisfaction,isSuperhost,latitude,location,longitude,numBaths,numBeds,numGuests,numHostReviews,numReviews,numRooms,price,rating,responseTimeShown,roomID,roomType,shortDesc,value
10,baths,beds,bedrooms,10,10,10,100,,38.09515,10,-78.50851,,2,5,,18,2,$354,5,,9127937,,,10
,bath,bed,bedroom,,,,,,38.03135,,-78.48193,,1,2,,,1,$345,,,40533478,,,
10,baths,beds,bedrooms,10,10,10,99,,38.02154,10,-78.48053,,3,5,,60,3,$279,5,,22277818,,,10
10,bath,beds,bedrooms,10,10,10,100,,37.96556,10,-78.51274,,3,6,,38,3,$325,5,,15066343,,,10
10,baths,bed,Studio,10,10,10,100,,38.03065,10,-78.47793,,1,6,,3,0,$314,5,,23388699,,,10
10,baths,beds,bedrooms,10,10,10,97,,38.01965,9,-78.48481,,4,6,,31,3,$310,5,,18807618,,,10
10,baths,beds,bedrooms,10,10,10,96,,38.01153,10,-78.49557,,6,8,,5,4,$385,5,,13013824,,,10
9,baths,beds,bedrooms,10,9,10,91,,38.04969,9,-78.45422,,2,4,,51,2,$225,4.5,,81577,,,9
10,bath,beds,bedrooms,10,10,10,98,,38.04721,10,-78.50093,,2,4,,76,2,$281,5,,266824,,,10
10,bath,beds,bedrooms,10,10,10,100,,38.07282,10,-78.45747,,2,7,,18,2,$325,5,,17041059,,,10
,bath,bed,bedroom,,,,,,38.10261,,-78.56566,,1,3,,,1,$253,,,32545438,,,
10,baths,bed,Studio,10,10,10,100,,38.03065,10,-78.47793,,1,6,,3,0,$250,5,,23388699,,,10
,bath,bed,bedroom,,,,,,38.10324,,-78.56568,,1,2,,,1,$233,,,5457390,,,
9,shared bath,beds,bedrooms,10,10,10,96,,38.02628,10,-78.47788,,3,4,,16,2,$199,5,,14397945,,,10
,bath,bed,bedroom,,,,,,38.10457,,-78.5656,,1,2,,,1,$240,,,32545260,,,
,bath,bed,bedroom,,,,,,38.10324,,-78.56568,,1,2,,,1,$204,,,5457390,,,
9,baths,beds,bedrooms,10,9,10,93,,38.1142,10,-78.54545,,4,0,,4,5,"$1,198",4.5,,15942405,,,9
9,baths,beds,bedrooms,10,9,10,96,,38.04602,10,-78.50173,,7,2,,11,6,"$1,769",5,,11584825,,,9
,baths,beds,bedrooms,,,,,,38.07948,,-78.49788,,6,6,,,6,"$2,354",,,17611082,,,
10,baths,beds,bedrooms,10,10,10,98,,38.02515,10,-78.47678,,6,8,,12,4,"$1,104",5,,1247871,,,10
,baths,beds,bedrooms,,,,,,38.05875,,-78.48222,,5,0,,,5,"$1,013",,,32043012,,,
,baths,beds,bedrooms,,,,,,38.04465,,-78.4929,,5,9,,,4,"$1,214",,,8773668,,,
10,baths,beds,bedrooms,10,10,10,100,,38.04423,10,-78.50144,,9,6,,14,5,"$1,755",5,,2537050,,,10
9,baths,beds,bedrooms,10,10,10,96,,38.04,9,-78.47035,,5,0,,22,4,"$1,404",5,,1148833,,,10
,baths,beds,bedrooms,,,,,,38.02353,,-78.48886,,5,8,,,4,"$1,083",,,,,,
9,baths,beds,bedrooms,9,9,10,97,,38.03791,10,-78.50964,,5,0,,7,5,"$1,518",5,,15020174,,,9
9,baths,beds,bedrooms,10,9,10,100,,38.04366,10,-78.4989,,6,2,,6,5,"$1,225",5,,29334145,,,9
10,baths,beds,bedrooms,10,10,10,100,,38.01799,10,-78.49218,,7,6,,52,6,"$1,161",5,,11143292,,,10
10,baths,beds,bedrooms,10,10,10,98,,37.99063,10,-78.43742,,6,0,,20,6,"$1,461",5,,15581613,,,10
10,baths,beds,bedrooms,10,10,10,99,,38.01351,10,-78.47874,,7,2,,29,4,"$1,013",5,,21150886,,,10
,baths,beds,bedrooms,,,,,,38.05023,,-78.50022,,6,0,,,5,"$1,050",,,40773416,,,
,bath,bed,bedroom,,,,,,38.10457,,-78.5656,,1,2,,,1,$210,,,32545260,,,
10,baths,beds,bedrooms,10,8,10,92,,38.02361,9,-78.5562,,8,8,,22,2,$200,4.5,,27077745,,,8
10,bath,bed,Studio,10,10,10,99,,37.99399,10,-78.40105,,1,2,,34,0,$206,5,,12166042,,,10
10,bath,bed,bedroom,10,10,10,89,,38.02294,10,-78.47524,,1,2,,15,1,$200,4.5,,37714020,,,10
10,baths,beds,bedrooms,10,10,10,100,,38.04527,10,-78.53195,,3,4,,8,2,$200,5,,24391450,,,10
10,bath,beds,bedroom,10,10,10,97,,38.02452,10,-78.47532,,0,2,,12,1,$200,5,,35548485,,,10
,private bath,bed,bedroom,,,,,,38.03141,,-78.50585,,1,2,,,1,$204,,,39895030,,,
,baths,beds,bedrooms,,,,,,38.0176,,-78.47551,,2,6,,,2,$201,,,40125467,,,
10,baths,beds,bedrooms,10,9,10,95,,38.02565,10,-78.51204,,6,5,,48,4,$200,5,,20846106,,,9
10,bath,bed,bedroom,10,10,10,99,,38.02332,10,-78.47618,,1,2,,33,1,$200,5,,35616538,,,10
10,bath,bed,bedroom,10,10,10,99,,38.02608,10,-78.47486,,1,2,,20,1,$250,5,,9569834,,,10
