accuracy,bathType,bedType,bedroomType,checkin,cleanliness,communication,guestSatisfaction,isSuperhost,latitude,location,longitude,numBaths,numBeds,numGuests,numHostReviews,numReviews,numRooms,price,rating,responseTimeShown,roomID,roomType,shortDesc,value
10,baths,beds,bedrooms,10,8,10,92,,38.02361,9,-78.5562,,8,8,,22,2,$200,4.5,,27077745,,,8
10,private bath,bed,bedroom,10,10,10,100,,38.03568,10,-78.49199,,1,2,,4,1,$189,5,,32158190,,,10
10,bath,beds,bedroom,10,10,10,100,,38.069,10,-78.40987,,2,3,,8,1,$214,5,,38327976,,,10
10,shared bath,bed,bedroom,10,10,10,98,,38.02565,10,-78.47911,,1,2,,21,1,$170,5,,14394002,,,10
10,bath,bed,bedroom,10,10,10,96,,38.03051,10,-78.48298,,1,2,,17,1,$176,5,,13058517,,,10
10,bath,bed,Studio,10,10,10,100,,38.00471,10,-78.40849,,1,2,,11,0,$120,5,,18885454,,,10
10,shared bath,bed,bedroom,10,10,10,100,,38.0245,10,-78.47871,,1,2,,41,1,$133,5,,14216931,,,10
,private bath,bed,bedroom,,,,,,38.08326,,-78.49861,,1,2,,,1,$ 121,,,33959757,,,
10,bath,bed,Studio,10,10,10,100,,38.00471,10,-78.40849,,1,2,,11,0,$120,5,,18885454,,,10
10,private bath,beds,bedrooms,10,10,10,99,,38.03743,10,-78.42195,,2,4,,94,2,$95,5,,14489648,,,10
10,private bath,beds,bedrooms,10,10,10,99,,38.03743,10,-78.42195,,2,4,,94,2,$95,5,,14489648,,,10
10,baths,bed,bedroom,10,10,10,99,,38.04467,10,-78.47095,,1,2,,58,1,$90,5,,1382827,,,10
,bath,bed,bedroom,,,,,,38.0294,,-78.46323,,1,1,,,1,$74,,,449727,,,
,bath,bed,bedroom,,,,,,38.0294,,-78.46323,,1,1,,,1,$74,,,449727,,,
9,shared bath,beds,bedroom,9,8,10,89,,37.96699,9,-78.55479,,3,4,,11,1,$52,4.5,,33508531,,,8
9,shared bath,beds,bedroom,9,8,10,89,,37.96699,9,-78.55479,,3,4,,11,1,$52,4.5,,33508531,,,8
9,baths,beds,bedrooms,10,9,10,93,,38.1142,10,-78.54545,,4,0,,4,5,"$1,000",4.5,,15942405,,,9
