accuracy,bathType,bedType,bedroomType,checkin,cleanliness,communication,guestSatisfaction,isSuperhost,latitude,location,longitude,numBaths,numBeds,numGuests,numHostReviews,numReviews,numRooms,price,rating,responseTimeShown,roomID,roomType,shortDesc,value
10,baths,beds,bedrooms,10,9,10,92,,38.0396,9,-78.4618,2.5,3,4,,7,3,199,4.5,,403373,,,9
10,private bath,bed,bedroom,10,10,10,100,,38.08948,10,-78.44615,1,1,4,,12,1,190,5,,24473783,,,10
10,baths,beds,bedrooms,10,9,10,100,,38.05663,10,-78.43222,2,3,5,,10,3,175,5,,20841964,,,9
10,bath,beds,bedrooms,10,10,10,99,,37.98611,10,-78.54014,1,2,6,,96,2,165,5,,4151622,,,10
10,bath,beds,bedrooms,10,10,10,100,,38.02553,10,-78.51542,1,3,4,,26,2,155,5,,4961336,,,10
10,baths,beds,bedrooms,10,10,10,97,,37.99578,10,-78.50002,2.5,5,6,,83,3,150,5,,12418086,,,10
10,bath,beds,bedrooms,10,9,10,96,,38.02099,10,-78.47609,1,2,4,,31,2,131,5,,20744879,,,9
10,bath,beds,bedroom,9,10,10,99,,38.03147,10,-78.48903,1,4,2,,15,1,129,5,,34540602,,,10
9,bath,beds,bedrooms,10,9,10,94,,38.02859,9,-78.49081,1,2,4,,75,2,115,4.5,,666284,,,9
10,bath,beds,bedroom,10,10,10,100,,38.02844,10,-78.5067,1,2,4,,6,1,110,5,,27572668,,,10
10,bath,bed,bedroom,10,10,10,99,,38.05251,10,-78.49094,1,1,2,,108,1,99,5,,6015460,,,10
10,shared bath,beds,bedroom,10,9,10,91,,38.03023,10,-78.48867,1,2,2,,206,1,81,4.5,,1601402,,,9
10,bath,bed,Studio,10,10,10,98,,38.02977,10,-78.48307,1,1,2,,173,0,70,5,,19806418,,,10
10,shared bath,bed,bedroom,10,10,10,97,,38.0315,10,-78.50179,1,1,3,,380,1,70,5,,7279476,,,10
10,bath,bed,bedroom,10,9,10,95,,38.02205,10,-78.51655,1,1,3,,39,1,60,5,,19912330,,,9
