details,latitude,longitude,numReviews,price,rating,roomID
"Apartment,1280, ,sq. ft.,Sleeps: 3,Bedrooms: 2,Bathrooms: 1,Min Stay: 7 nights",38.04774947,-78.49313105,15 Reviews,135,Wonderful! 4.9/5,622624
"Cabin,344, ,sq. ft.,Sleeps: 4,Bedrooms: Studio,Bathrooms: 1,Min Stay: 3 nights",38.046892,-78.484312,19 Reviews,140,Wonderful! 4.9/5,688243
"Apartment,750, ,sq. ft.,Sleeps: 2,Bedrooms: 1,Bathrooms: 1,Min Stay: 3 nights",38.028447,-78.471883,59 Reviews,150,Excellent! 4.7/5,988957ha
"House,1000, ,sq. ft.,Sleeps: 4,Bedrooms: 2,Bathrooms: 1,Min Stay: 2 nights",38.04934857,-78.48896004,33 Reviews,200,Wonderful! 4.8/5,384438
"House,1400, ,sq. ft.,Sleeps: 6,Bedrooms: 1,Bathrooms: 1,Half Baths: 1,Min Stay: 2 nights",38.034012,-78.47738,86 Reviews,250,Wonderful! 4.9/5,3660449ha
"Hotel,295, ,sq. ft.,Sleeps: 2,Bedrooms: 1,Bathrooms: 1,Min Stay: 1–3 nights",38.03255327,-78.48205878,3 Reviews,180,,7160443ha
"House,Sleeps: 4,Bedrooms: 2,Bathrooms: 1,Min Stay: 1 night",38.03737104,-78.48077769,12 Reviews,170,Excellent! 4.5/5,4706726ha
"Condo,Sleeps: 4,Bedrooms: 2,Bathrooms: 2,Half Baths: 1,Min Stay: 2 nights",38.03258984,-78.48469325,5 Reviews,575,Exceptional! 5/5,1433059
"House,2266, ,sq. ft.,Sleeps: 6,Bedrooms: 3,Bathrooms: 3,Min Stay: 2–3 nights",38.03453113,-78.48337046,5 Reviews,407,Excellent! 4.6/5,7388323ha
"Apartment,Sleeps: 2,Bedrooms: 1,Bathrooms: 1,Min Stay: 2 nights",38.02284,-78.49994,2 Reviews,88,,4767323ha
"Hotel,333, ,sq. ft.,Sleeps: 2,Bedrooms: 1,Bathrooms: 1,Min Stay: 1–3 nights",38.02933354,-78.48215382,2 Reviews,180,,7160441ha
"House,Sleeps: 3,Bedrooms: 1,Bathrooms: 1,Min Stay: 2–3 nights",38.02607189,-78.47217703,7 Reviews,150,Excellent! 4.6/5,4267288ha
"Townhome,1600, ,sq. ft.,Sleeps: 6,Bedrooms: 2,Bathrooms: 4,Min Stay: 2 nights",38.0163731,-78.4749769,42 Reviews,205,Wonderful! 4.9/5,920504
"Condo,890, ,sq. ft.,Sleeps: 4,Bedrooms: 1,Bathrooms: 2,Min Stay: 2–3 nights",38.03153251,-78.48335735,3 Reviews,220,,7160478ha
"Cabin,400, ,sq. ft.,Sleeps: 4,Bedrooms: 2,Half Baths: 1,Min Stay: 2 nights",38.02962875,-78.46417999,26 Reviews,79,Excellent! 4.4/5,319872
"Bungalow,800, ,sq. ft.,Sleeps: 4,Bedrooms: 2,Bathrooms: 1,Min Stay: 2–3 nights",38.02662659,-78.47418976,61 Reviews,225,Exceptional! 5/5,333691
